#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Infiltration at roof and ground 
# 0:time [hr] 1:fRoofVeg [mm s^-1] 2:fGroundBare [mm s^-1] 3:fGroundVeg [mm s^-1] 4:fGroundImp [mm s^-1] 
54 nan nan 0.000002 0.000000 
55 nan nan 0.000004 0.000000 
56 nan nan 0.000012 0.000000 
57 nan nan 0.000005 0.000000 
58 nan nan 0.000004 0.000000 
59 nan nan 0.000004 0.000000 
60 nan nan 0.000002 0.000000 
61 nan nan 0.000000 0.000000 
62 nan nan 0.000000 0.000000 
63 nan nan 0.000000 0.000000 
64 nan nan 0.000000 0.000000 
65 nan nan 0.000000 0.000000 
66 nan nan 0.000000 0.000000 
67 nan nan 0.000000 0.000000 
68 nan nan 0.000000 0.000000 
69 nan nan 0.000002 0.000000 
70 nan nan 0.000002 0.000000 
71 nan nan 0.000002 0.000000 
72 nan nan 0.000002 0.000000 
73 nan nan 0.000002 0.000000 
74 nan nan 0.000003 0.000000 
75 nan nan 0.000004 0.000000 
76 nan nan 0.000004 0.000000 
77 nan nan 0.000006 0.000000 
78 nan nan 0.000006 0.000000 
79 nan nan 0.000004 0.000000 
80 nan nan 0.000004 0.000000 
81 nan nan 0.000003 0.000000 
82 nan nan 0.000002 0.000000 
83 nan nan 0.000002 0.000000 
84 nan nan 0.000003 0.000000 
85 nan nan 0.000001 0.000000 
86 nan nan 0.000002 0.000000 
87 nan nan 0.000002 0.000000 
88 nan nan 0.000003 0.000000 
89 nan nan 0.000005 0.000000 
90 nan nan 0.000004 0.000000 
91 nan nan 0.000003 0.000000 
92 nan nan 0.000002 0.000000 
93 nan nan 0.000001 0.000000 
94 nan nan 0.000001 0.000000 
95 nan nan 0.000002 0.000000 
96 nan nan 0.000003 0.000000 
97 nan nan 0.000003 0.000000 
98 nan nan 0.000004 0.000000 
99 nan nan 0.000006 0.000000 
100 nan nan 0.000138 0.000000 
101 nan nan 0.000427 0.000000 
102 nan nan 0.000475 0.000000 
103 nan nan 0.000482 0.000000 
104 nan nan 0.000482 0.000000 
105 nan nan 0.000166 0.000000 
106 nan nan 0.000102 0.000000 
107 nan nan 0.000232 0.000000 
108 nan nan 0.000748 0.000000 
109 nan nan 0.000632 0.000000 
110 nan nan 0.000396 0.000000 
111 nan nan 0.000200 0.000000 
112 nan nan 0.000073 0.000000 
113 nan nan 0.000045 0.000000 
114 nan nan 0.000024 0.000000 
115 nan nan 0.000012 0.000000 
116 nan nan 0.000010 0.000000 
117 nan nan 0.000010 0.000000 
118 nan nan 0.000008 0.000000 
119 nan nan 0.000006 0.000000 
120 nan nan 0.000005 0.000000 
121 nan nan 0.000004 0.000000 
122 nan nan 0.000003 0.000000 
123 nan nan 0.000003 0.000000 
124 nan nan 0.000003 0.000000 
125 nan nan 0.000005 0.000000 
126 nan nan 0.000004 0.000000 
127 nan nan 0.000006 0.000000 
128 nan nan 0.000006 0.000000 
129 nan nan 0.000004 0.000000 
130 nan nan 0.000004 0.000000 
131 nan nan 0.000002 0.000000 
132 nan nan 0.000000 0.000000 
133 nan nan 0.000000 0.000000 
134 nan nan 0.000000 0.000000 
135 nan nan 0.000000 0.000000 
136 nan nan 0.000000 0.000000 
137 nan nan 0.000000 0.000000 
138 nan nan 0.000000 0.000000 
139 nan nan 0.000000 0.000000 
140 nan nan 0.000000 0.000000 
141 nan nan 0.000000 0.000000 
142 nan nan 0.000000 0.000000 
143 nan nan 0.000000 0.000000 
144 nan nan 0.000000 0.000000 
145 nan nan 0.000000 0.000000 
146 nan nan 0.000000 0.000000 
147 nan nan 0.000000 0.000000 
148 nan nan 0.000000 0.000000 
149 nan nan 0.000000 0.000000 
150 nan nan 0.000000 0.000000 
151 nan nan 0.000000 0.000000 
152 nan nan 0.000000 0.000000 
153 nan nan 0.000000 0.000000 
154 nan nan 0.000000 0.000000 
155 nan nan 0.000000 0.000000 
156 nan nan 0.000000 0.000000 
157 nan nan 0.000000 0.000000 
158 nan nan 0.000000 0.000000 
159 nan nan 0.000000 0.000000 
160 nan nan 0.000000 0.000000 
161 nan nan 0.000000 0.000000 
162 nan nan 0.000000 0.000000 
163 nan nan 0.000000 0.000000 
164 nan nan 0.000000 0.000000 
165 nan nan 0.000000 0.000000 
166 nan nan 0.000000 0.000000 
167 nan nan 0.000000 0.000000 
168 nan nan 0.000000 0.000000 
169 nan nan 0.000000 0.000000 
170 nan nan 0.000000 0.000000 
171 nan nan 0.000000 0.000000 
172 nan nan 0.000000 0.000000 
173 nan nan 0.000000 0.000000 
174 nan nan 0.000000 0.000000 
175 nan nan 0.000000 0.000000 
176 nan nan 0.000000 0.000000 
177 nan nan 0.000000 0.000000 
178 nan nan 0.000000 0.000000 
179 nan nan 0.000000 0.000000 
180 nan nan 0.000000 0.000000 
181 nan nan 0.000000 0.000000 
182 nan nan 0.000000 0.000000 
183 nan nan 0.000000 0.000000 
184 nan nan 0.000000 0.000000 
185 nan nan 0.000000 0.000000 
186 nan nan 0.000000 0.000000 
187 nan nan 0.000000 0.000000 
188 nan nan 0.000000 0.000000 
189 nan nan 0.000000 0.000000 
190 nan nan 0.000000 0.000000 
191 nan nan 0.000000 0.000000 
192 nan nan 0.000000 0.000000 
193 nan nan 0.000000 0.000000 
194 nan nan 0.000000 0.000000 
195 nan nan 0.000000 0.000000 
196 nan nan 0.000000 0.000000 
197 nan nan 0.000000 0.000000 
198 nan nan 0.000000 0.000000 
199 nan nan 0.000000 0.000000 
200 nan nan 0.000001 0.000000 
201 nan nan 0.000001 0.000000 
202 nan nan 0.000000 0.000000 
203 nan nan 0.000000 0.000000 
204 nan nan 0.000000 0.000000 
205 nan nan 0.000000 0.000000 
206 nan nan 0.000000 0.000000 
207 nan nan 0.000000 0.000000 
208 nan nan 0.000000 0.000000 
209 nan nan 0.000000 0.000000 
210 nan nan 0.000000 0.000000 
211 nan nan 0.000000 0.000000 
212 nan nan 0.000000 0.000000 
213 nan nan 0.000000 0.000000 
214 nan nan 0.000000 0.000000 
215 nan nan 0.000000 0.000000 
216 nan nan 0.000000 0.000000 
217 nan nan 0.000000 0.000000 
218 nan nan 0.000001 0.000000 
219 nan nan 0.000002 0.000000 
220 nan nan 0.000003 0.000000 
221 nan nan 0.000004 0.000000 
222 nan nan 0.000003 0.000000 
223 nan nan 0.000002 0.000000 
224 nan nan 0.000000 0.000000 
225 nan nan 0.000000 0.000000 
226 nan nan 0.000000 0.000000 
227 nan nan 0.000000 0.000000 
228 nan nan 0.000000 0.000000 
229 nan nan 0.000000 0.000000 
230 nan nan 0.000000 0.000000 
231 nan nan 0.000000 0.000000 
232 nan nan 0.000000 0.000000 
233 nan nan 0.000000 0.000000 
234 nan nan 0.000000 0.000000 
235 nan nan 0.000000 0.000000 
236 nan nan 0.000000 0.000000 
237 nan nan 0.000000 0.000000 
238 nan nan 0.000000 0.000000 
239 nan nan 0.000000 0.000000 
240 nan nan 0.000000 0.000000 
241 nan nan 0.000000 0.000000 
242 nan nan 0.000000 0.000000 
243 nan nan 0.000000 0.000000 
244 nan nan 0.000000 0.000000 
245 nan nan 0.000000 0.000000 
246 nan nan 0.000000 0.000000 
247 nan nan 0.000000 0.000000 
248 nan nan 0.000000 0.000000 
249 nan nan 0.000000 0.000000 
250 nan nan 0.000000 0.000000 
251 nan nan 0.000000 0.000000 
252 nan nan 0.000000 0.000000 
253 nan nan 0.000000 0.000000 
254 nan nan 0.000000 0.000000 
255 nan nan 0.000000 0.000000 
256 nan nan 0.000000 0.000000 
257 nan nan 0.000000 0.000000 
258 nan nan 0.000000 0.000000 
259 nan nan 0.000000 0.000000 
260 nan nan 0.000000 0.000000 
261 nan nan 0.000000 0.000000 
262 nan nan 0.000000 0.000000 
263 nan nan 0.000000 0.000000 
264 nan nan 0.000000 0.000000 
265 nan nan 0.000000 0.000000 
266 nan nan 0.000000 0.000000 
267 nan nan 0.000000 0.000000 
268 nan nan 0.000000 0.000000 
269 nan nan 0.000000 0.000000 
270 nan nan 0.000000 0.000000 
271 nan nan 0.000000 0.000000 
272 nan nan 0.000000 0.000000 
273 nan nan 0.000000 0.000000 
274 nan nan 0.000000 0.000000 
275 nan nan 0.000000 0.000000 
276 nan nan 0.000000 0.000000 
277 nan nan 0.000000 0.000000 
278 nan nan 0.000000 0.000000 
279 nan nan 0.000000 0.000000 
280 nan nan 0.000000 0.000000 
281 nan nan 0.000000 0.000000 
282 nan nan 0.000000 0.000000 
283 nan nan 0.000000 0.000000 
284 nan nan 0.000000 0.000000 
285 nan nan 0.000000 0.000000 
286 nan nan 0.000000 0.000000 
287 nan nan 0.000000 0.000000 
288 nan nan 0.000000 0.000000 
289 nan nan 0.000000 0.000000 
290 nan nan 0.000000 0.000000 
291 nan nan 0.000000 0.000000 
292 nan nan 0.000000 0.000000 
293 nan nan 0.000000 0.000000 
294 nan nan 0.000000 0.000000 
295 nan nan 0.000000 0.000000 
296 nan nan 0.000000 0.000000 
297 nan nan 0.000000 0.000000 
298 nan nan 0.000000 0.000000 
299 nan nan 0.000000 0.000000 
300 nan nan 0.000000 0.000000 
301 nan nan 0.000000 0.000000 
302 nan nan 0.000000 0.000000 
303 nan nan 0.000000 0.000000 
304 nan nan 0.000000 0.000000 
305 nan nan 0.000000 0.000000 
306 nan nan 0.000000 0.000000 
307 nan nan 0.000000 0.000000 
308 nan nan 0.000000 0.000000 
309 nan nan 0.000000 0.000000 
310 nan nan 0.000000 0.000000 
311 nan nan 0.000000 0.000000 
312 nan nan 0.000000 0.000000 
313 nan nan 0.000000 0.000000 
314 nan nan 0.000000 0.000000 
315 nan nan 0.000000 0.000000 
316 nan nan 0.000000 0.000000 
317 nan nan 0.000000 0.000000 
318 nan nan 0.000000 0.000000 
319 nan nan 0.000000 0.000000 
320 nan nan 0.000000 0.000000 
321 nan nan 0.000000 0.000000 
322 nan nan 0.000000 0.000000 
323 nan nan 0.000000 0.000000 
324 nan nan 0.000000 0.000000 
325 nan nan 0.000000 0.000000 
326 nan nan 0.000000 0.000000 
327 nan nan 0.000000 0.000000 
328 nan nan 0.000000 0.000000 
329 nan nan 0.000000 0.000000 
330 nan nan 0.000000 0.000000 
331 nan nan 0.000000 0.000000 
332 nan nan 0.000000 0.000000 
333 nan nan 0.000000 0.000000 
334 nan nan 0.000000 0.000000 
335 nan nan 0.000000 0.000000 
336 nan nan 0.000000 0.000000 
337 nan nan 0.000000 0.000000 
338 nan nan 0.000000 0.000000 
339 nan nan 0.000000 0.000000 
340 nan nan 0.000000 0.000000 
341 nan nan 0.000000 0.000000 
342 nan nan 0.000000 0.000000 
343 nan nan 0.000000 0.000000 
344 nan nan 0.000000 0.000000 
345 nan nan 0.000000 0.000000 
346 nan nan 0.000000 0.000000 
347 nan nan 0.000000 0.000000 
348 nan nan 0.000000 0.000000 
349 nan nan 0.000000 0.000000 
350 nan nan 0.000000 0.000000 
351 nan nan 0.000000 0.000000 
352 nan nan 0.000000 0.000000 
353 nan nan 0.000000 0.000000 
354 nan nan 0.000000 0.000000 
355 nan nan 0.000000 0.000000 
356 nan nan 0.000000 0.000000 
357 nan nan 0.000000 0.000000 
358 nan nan 0.000000 0.000000 
359 nan nan 0.000000 0.000000 
360 nan nan 0.000000 0.000000 
361 nan nan 0.000000 0.000000 
362 nan nan 0.000000 0.000000 
363 nan nan 0.000000 0.000000 
364 nan nan 0.000000 0.000000 
365 nan nan 0.000000 0.000000 
366 nan nan 0.000000 0.000000 
367 nan nan 0.000000 0.000000 
368 nan nan 0.000000 0.000000 
369 nan nan 0.000000 0.000000 
370 nan nan 0.000000 0.000000 
371 nan nan 0.000000 0.000000 
372 nan nan 0.000000 0.000000 
373 nan nan 0.000000 0.000000 
374 nan nan 0.000000 0.000000 
375 nan nan 0.000000 0.000000 
376 nan nan 0.000000 0.000000 
377 nan nan 0.000000 0.000000 
378 nan nan 0.000000 0.000000 
379 nan nan 0.000000 0.000000 
380 nan nan 0.000000 0.000000 
381 nan nan 0.000000 0.000000 
382 nan nan 0.000000 0.000000 
383 nan nan 0.000000 0.000000 
384 nan nan 0.000000 0.000000 
385 nan nan 0.000000 0.000000 
386 nan nan 0.000000 0.000000 
387 nan nan 0.000000 0.000000 
388 nan nan 0.000000 0.000000 
389 nan nan 0.000000 0.000000 
390 nan nan 0.000000 0.000000 
391 nan nan 0.000000 0.000000 
392 nan nan 0.000000 0.000000 
393 nan nan 0.000000 0.000000 
394 nan nan 0.000000 0.000000 
395 nan nan 0.000000 0.000000 
396 nan nan 0.000000 0.000000 
397 nan nan 0.000000 0.000000 
398 nan nan 0.000000 0.000000 
399 nan nan 0.000000 0.000000 
400 nan nan 0.000000 0.000000 
401 nan nan 0.000000 0.000000 
402 nan nan 0.000000 0.000000 
403 nan nan 0.000000 0.000000 
404 nan nan 0.000000 0.000000 
405 nan nan 0.000000 0.000000 
406 nan nan 0.000000 0.000000 
407 nan nan 0.000000 0.000000 
408 nan nan 0.000000 0.000000 
409 nan nan 0.000000 0.000000 
410 nan nan 0.000000 0.000000 
411 nan nan 0.000000 0.000000 
412 nan nan 0.000000 0.000000 
413 nan nan 0.000000 0.000000 
414 nan nan 0.000000 0.000000 
415 nan nan 0.000000 0.000000 
416 nan nan 0.000000 0.000000 
417 nan nan 0.000002 0.000000 
418 nan nan 0.000003 0.000000 
419 nan nan 0.000003 0.000000 
420 nan nan 0.000002 0.000000 
421 nan nan 0.000000 0.000000 
422 nan nan 0.000000 0.000000 
423 nan nan 0.000000 0.000000 
424 nan nan 0.000000 0.000000 
425 nan nan 0.000001 0.000000 
426 nan nan 0.000000 0.000000 
427 nan nan 0.000000 0.000000 
428 nan nan 0.000001 0.000000 
429 nan nan 0.000001 0.000000 
430 nan nan 0.000000 0.000000 
431 nan nan 0.000000 0.000000 
432 nan nan 0.000000 0.000000 
433 nan nan 0.000000 0.000000 
434 nan nan 0.000000 0.000000 
435 nan nan 0.000000 0.000000 
436 nan nan 0.000000 0.000000 
437 nan nan 0.000000 0.000000 
438 nan nan 0.000000 0.000000 
439 nan nan 0.000001 0.000000 
440 nan nan 0.000001 0.000000 
441 nan nan 0.000002 0.000000 
442 nan nan 0.000002 0.000000 
443 nan nan 0.000000 0.000000 
444 nan nan 0.000000 0.000000 
445 nan nan 0.000000 0.000000 
446 nan nan 0.000000 0.000000 
447 nan nan 0.000000 0.000000 
448 nan nan 0.000000 0.000000 
449 nan nan 0.000000 0.000000 
450 nan nan 0.000000 0.000000 
451 nan nan 0.000000 0.000000 
452 nan nan 0.000000 0.000000 
453 nan nan 0.000000 0.000000 
454 nan nan 0.000000 0.000000 
455 nan nan 0.000000 0.000000 
456 nan nan 0.000000 0.000000 
457 nan nan 0.000000 0.000000 
458 nan nan 0.000000 0.000000 
459 nan nan 0.000000 0.000000 
460 nan nan 0.000000 0.000000 
461 nan nan 0.000000 0.000000 
462 nan nan 0.000000 0.000000 
463 nan nan 0.000000 0.000000 
464 nan nan 0.000000 0.000000 
465 nan nan 0.000000 0.000000 
466 nan nan 0.000000 0.000000 
467 nan nan 0.000000 0.000000 
468 nan nan 0.000000 0.000000 
469 nan nan 0.000000 0.000000 
470 nan nan 0.000000 0.000000 
471 nan nan 0.000000 0.000000 
472 nan nan 0.000000 0.000000 
473 nan nan 0.000000 0.000000 
474 nan nan 0.000000 0.000000 
475 nan nan 0.000000 0.000000 
476 nan nan 0.000000 0.000000 
477 nan nan 0.000000 0.000000 
478 nan nan 0.000000 0.000000 
479 nan nan 0.000000 0.000000 
480 nan nan 0.000000 0.000000 
481 nan nan 0.000000 0.000000 
482 nan nan 0.000000 0.000000 
483 nan nan 0.000000 0.000000 
484 nan nan 0.000000 0.000000 
485 nan nan 0.000000 0.000000 
486 nan nan 0.000000 0.000000 
487 nan nan 0.000000 0.000000 
488 nan nan 0.000000 0.000000 
489 nan nan 0.000000 0.000000 
490 nan nan 0.000000 0.000000 
491 nan nan 0.000000 0.000000 
492 nan nan 0.000000 0.000000 
493 nan nan 0.000000 0.000000 
494 nan nan 0.000000 0.000000 
495 nan nan 0.000000 0.000000 
496 nan nan 0.000000 0.000000 
497 nan nan 0.000000 0.000000 
498 nan nan 0.000000 0.000000 
499 nan nan 0.000000 0.000000 
500 nan nan 0.000000 0.000000 
501 nan nan 0.000000 0.000000 
502 nan nan 0.000000 0.000000 
503 nan nan 0.000000 0.000000 
504 nan nan 0.000000 0.000000 
505 nan nan 0.000000 0.000000 
506 nan nan 0.000000 0.000000 
507 nan nan 0.000000 0.000000 
508 nan nan 0.000000 0.000000 
509 nan nan 0.000000 0.000000 
510 nan nan 0.000000 0.000000 
511 nan nan 0.000000 0.000000 
512 nan nan 0.000000 0.000000 
513 nan nan 0.000002 0.000000 
514 nan nan 0.000003 0.000000 
515 nan nan 0.000003 0.000000 
516 nan nan 0.000001 0.000000 
517 nan nan 0.000000 0.000000 
518 nan nan 0.000000 0.000000 
519 nan nan 0.000000 0.000000 
520 nan nan 0.000000 0.000000 
521 nan nan 0.000002 0.000000 
522 nan nan 0.000001 0.000000 
523 nan nan 0.000000 0.000000 
524 nan nan 0.000001 0.000000 
525 nan nan 0.000002 0.000000 
526 nan nan 0.000002 0.000000 
527 nan nan 0.000001 0.000000 
528 nan nan 0.000002 0.000000 
529 nan nan 0.000001 0.000000 
530 nan nan 0.000001 0.000000 
531 nan nan 0.000002 0.000000 
532 nan nan 0.000002 0.000000 
533 nan nan 0.000002 0.000000 
534 nan nan 0.000002 0.000000 
535 nan nan 0.000002 0.000000 
536 nan nan 0.000002 0.000000 
537 nan nan 0.000011 0.000000 
538 nan nan 0.000010 0.000000 
539 nan nan 0.000004 0.000000 
540 nan nan 0.000002 0.000000 
541 nan nan 0.000000 0.000000 
542 nan nan 0.000000 0.000000 
543 nan nan 0.000000 0.000000 
544 nan nan 0.000000 0.000000 
545 nan nan 0.000000 0.000000 
546 nan nan 0.000000 0.000000 
547 nan nan 0.000000 0.000000 
548 nan nan 0.000000 0.000000 
549 nan nan 0.000000 0.000000 
550 nan nan 0.000000 0.000000 
551 nan nan 0.000000 0.000000 
552 nan nan 0.000001 0.000000 
553 nan nan 0.000001 0.000000 
554 nan nan 0.000000 0.000000 
555 nan nan 0.000000 0.000000 
556 nan nan 0.000000 0.000000 
557 nan nan 0.000000 0.000000 
558 nan nan 0.000000 0.000000 
559 nan nan 0.000000 0.000000 
560 nan nan 0.000000 0.000000 
561 nan nan 0.000000 0.000000 
562 nan nan 0.000000 0.000000 
563 nan nan 0.000000 0.000000 
564 nan nan 0.000000 0.000000 
565 nan nan 0.000000 0.000000 
566 nan nan 0.000000 0.000000 
567 nan nan 0.000000 0.000000 
568 nan nan 0.000000 0.000000 
569 nan nan 0.000000 0.000000 
570 nan nan 0.000000 0.000000 
571 nan nan 0.000000 0.000000 
572 nan nan 0.000000 0.000000 
573 nan nan 0.000000 0.000000 
574 nan nan 0.000000 0.000000 
575 nan nan 0.000000 0.000000 
576 nan nan 0.000000 0.000000 
577 nan nan 0.000000 0.000000 
578 nan nan 0.000000 0.000000 
579 nan nan 0.000000 0.000000 
580 nan nan 0.000000 0.000000 
581 nan nan 0.000000 0.000000 
582 nan nan 0.000000 0.000000 
583 nan nan 0.000000 0.000000 
584 nan nan 0.000000 0.000000 
585 nan nan 0.000000 0.000000 
586 nan nan 0.000000 0.000000 
587 nan nan 0.000000 0.000000 
588 nan nan 0.000000 0.000000 
589 nan nan 0.000000 0.000000 
590 nan nan 0.000000 0.000000 
591 nan nan 0.000000 0.000000 
592 nan nan 0.000000 0.000000 
593 nan nan 0.000003 0.000000 
594 nan nan 0.000002 0.000000 
595 nan nan 0.000000 0.000000 
596 nan nan 0.000000 0.000000 
597 nan nan 0.000000 0.000000 
598 nan nan 0.000000 0.000000 
599 nan nan 0.000000 0.000000 
600 nan nan 0.000000 0.000000 
601 nan nan 0.000000 0.000000 
602 nan nan 0.000000 0.000000 
603 nan nan 0.000000 0.000000 
604 nan nan 0.000000 0.000000 
605 nan nan 0.000002 0.000000 
606 nan nan 0.000000 0.000000 
607 nan nan 0.000000 0.000000 
608 nan nan 0.000000 0.000000 
609 nan nan 0.000000 0.000000 
610 nan nan 0.000000 0.000000 
611 nan nan 0.000000 0.000000 
612 nan nan 0.000000 0.000000 
613 nan nan 0.000000 0.000000 
614 nan nan 0.000000 0.000000 
615 nan nan 0.000000 0.000000 
616 nan nan 0.000000 0.000000 
617 nan nan 0.000001 0.000000 
618 nan nan 0.000002 0.000000 
619 nan nan 0.000002 0.000000 
620 nan nan 0.000003 0.000000 
621 nan nan 0.000002 0.000000 
622 nan nan 0.000001 0.000000 
623 nan nan 0.000004 0.000000 
624 nan nan 0.000006 0.000000 
625 nan nan 0.000008 0.000000 
626 nan nan 0.000006 0.000000 
627 nan nan 0.000008 0.000000 
628 nan nan 0.000014 0.000000 
629 nan nan 0.000049 0.000000 
630 nan nan 0.000071 0.000000 
631 nan nan 0.000049 0.000000 
632 nan nan 0.000151 0.000000 
633 nan nan 0.000040 0.000000 
634 nan nan 0.000014 0.000000 
635 nan nan 0.000010 0.000000 
636 nan nan 0.000007 0.000000 
637 nan nan 0.000007 0.000000 
638 nan nan 0.000007 0.000000 
639 nan nan 0.000006 0.000000 
640 nan nan 0.000006 0.000000 
641 nan nan 0.000004 0.000000 
642 nan nan 0.000004 0.000000 
643 nan nan 0.000004 0.000000 
644 nan nan 0.000003 0.000000 
645 nan nan 0.000003 0.000000 
646 nan nan 0.000002 0.000000 
647 nan nan 0.000002 0.000000 
648 nan nan 0.000002 0.000000 
649 nan nan 0.000000 0.000000 
650 nan nan 0.000000 0.000000 
651 nan nan 0.000000 0.000000 
652 nan nan 0.000000 0.000000 
653 nan nan 0.000000 0.000000 
654 nan nan 0.000000 0.000000 
655 nan nan 0.000000 0.000000 
656 nan nan 0.000000 0.000000 
657 nan nan 0.000000 0.000000 
658 nan nan 0.000000 0.000000 
659 nan nan 0.000000 0.000000 
660 nan nan 0.000000 0.000000 
661 nan nan 0.000000 0.000000 
662 nan nan 0.000000 0.000000 
663 nan nan 0.000000 0.000000 
664 nan nan 0.000000 0.000000 
665 nan nan 0.000000 0.000000 
666 nan nan 0.000000 0.000000 
667 nan nan 0.000000 0.000000 
668 nan nan 0.000000 0.000000 
669 nan nan 0.000000 0.000000 
670 nan nan 0.000000 0.000000 
671 nan nan 0.000000 0.000000 
672 nan nan 0.000000 0.000000 
673 nan nan 0.000002 0.000000 
674 nan nan 0.000006 0.000000 
675 nan nan 0.000017 0.000000 
676 nan nan 0.000466 0.000000 
677 nan nan 0.000564 0.000000 
678 nan nan 0.000405 0.000000 
679 nan nan 0.000264 0.000000 
680 nan nan 0.000231 0.000000 
681 nan nan 0.000251 0.000000 
682 nan nan 0.000409 0.000000 
683 nan nan 0.000454 0.000000 
684 nan nan 0.001219 0.000000 
685 nan nan 0.000670 0.000000 
686 nan nan 0.000820 0.000000 
687 nan nan 0.000365 0.000000 
688 nan nan 0.000262 0.000000 
689 nan nan 0.000315 0.000000 
690 nan nan 0.000295 0.000000 
691 nan nan 0.000223 0.000000 
692 nan nan 0.000098 0.000000 
693 nan nan 0.000110 0.000000 
694 nan nan 0.000040 0.000000 
695 nan nan 0.000029 0.000000 
696 nan nan 0.000031 0.000000 
697 nan nan 0.000017 0.000000 
698 nan nan 0.000013 0.000000 
699 nan nan 0.000011 0.000000 
700 nan nan 0.000009 0.000000 
701 nan nan 0.000009 0.000000 
702 nan nan 0.000008 0.000000 
703 nan nan 0.000023 0.000000 
704 nan nan 0.000017 0.000000 
705 nan nan 0.000009 0.000000 
706 nan nan 0.000010 0.000000 
707 nan nan 0.000006 0.000000 
708 nan nan 0.000003 0.000000 
709 nan nan 0.000003 0.000000 
710 nan nan 0.000003 0.000000 
711 nan nan 0.000003 0.000000 
712 nan nan 0.000002 0.000000 
713 nan nan 0.000000 0.000000 
714 nan nan 0.000000 0.000000 
715 nan nan 0.000000 0.000000 
716 nan nan 0.000000 0.000000 
717 nan nan 0.000000 0.000000 
718 nan nan 0.000000 0.000000 
719 nan nan 0.000000 0.000000 
720 nan nan 0.000000 0.000000 
721 nan nan 0.000000 0.000000 
722 nan nan 0.000000 0.000000 
723 nan nan 0.000000 0.000000 
724 nan nan 0.000000 0.000000 
725 nan nan 0.000000 0.000000 
726 nan nan 0.000000 0.000000 
727 nan nan 0.000000 0.000000 
728 nan nan 0.000000 0.000000 
729 nan nan 0.000004 0.000000 
730 nan nan 0.000008 0.000000 
731 nan nan 0.000015 0.000000 
732 nan nan 0.000310 0.000000 
733 nan nan 0.000579 0.000000 
734 nan nan 0.000717 0.000000 
735 nan nan 0.000628 0.000000 
736 nan nan 0.000387 0.000000 
737 nan nan 0.000175 0.000000 
738 nan nan 0.000347 0.000000 
739 nan nan 0.000335 0.000000 
740 nan nan 0.000559 0.000000 
741 nan nan 0.000635 0.000000 
742 nan nan 0.000411 0.000000 
743 nan nan 0.000364 0.000000 
