#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Change in water volume of soil 
# 0:time [hr] 1:dVRoofSoilVeg_dt [mm s^-1] 2:dVGroundSoilImp_dt [mm s^-1] 3:dVGroundSoilBare_dt [mm s^-1] 4:dVGroundSoilVeg_dt [mm s^-1] 5:dVGroundSoilTot_dt 
476 -0.000000 -0.000008 nan 0.000006 -0.000006 
477 -0.000000 -0.000008 nan 0.000007 -0.000006 
478 -0.000000 -0.000007 nan 0.000007 -0.000006 
479 -0.000000 -0.000007 nan 0.000008 -0.000006 
480 -0.000000 -0.000007 nan 0.000008 -0.000006 
481 -0.000000 -0.000007 nan 0.000009 -0.000005 
482 -0.000000 -0.000007 nan 0.000009 -0.000005 
483 -0.000000 -0.000007 nan 0.000009 -0.000005 
484 -0.000000 -0.000009 nan 0.000001 -0.000008 
485 -0.000000 -0.000011 nan -0.000004 -0.000010 
486 -0.000000 -0.000012 nan -0.000013 -0.000012 
487 -0.000000 -0.000014 nan -0.000019 -0.000014 
488 -0.000000 -0.000016 nan -0.000026 -0.000017 
489 -0.000000 -0.000019 nan -0.000038 -0.000021 
490 -0.000000 -0.000022 nan -0.000075 -0.000028 
491 -0.000000 -0.000024 nan -0.000089 -0.000031 
492 -0.000000 -0.000020 nan -0.000045 -0.000023 
493 -0.000000 -0.000020 nan -0.000044 -0.000023 
494 -0.000000 -0.000020 nan -0.000040 -0.000022 
495 -0.000000 -0.000018 nan -0.000033 -0.000020 
496 -0.000000 -0.000017 nan -0.000025 -0.000017 
497 -0.000000 -0.000014 nan -0.000015 -0.000014 
498 -0.000000 -0.000009 nan 0.000003 -0.000007 
499 -0.000000 -0.000008 nan 0.000007 -0.000006 
500 -0.000000 -0.000007 nan 0.000007 -0.000006 
501 -0.000000 -0.000007 nan 0.000007 -0.000006 
502 -0.000000 -0.000007 nan 0.000008 -0.000006 
503 -0.000000 -0.000007 nan 0.000008 -0.000006 
504 -0.000000 -0.000007 nan 0.000008 -0.000005 
505 -0.000000 -0.000007 nan 0.000009 -0.000005 
506 0.000000 -0.000007 nan 0.000010 -0.000005 
507 0.000000 -0.000007 nan 0.000010 -0.000005 
508 0.000000 -0.000009 nan 0.000004 -0.000007 
509 0.000000 -0.000011 nan -0.000005 -0.000010 
510 0.000000 -0.000012 nan -0.000012 -0.000012 
511 -0.000000 -0.000013 nan -0.000018 -0.000014 
512 -0.000000 -0.000014 nan -0.000021 -0.000015 
513 0.000002 -0.000016 nan -0.000028 -0.000017 
514 0.000004 -0.000019 nan -0.000058 -0.000023 
515 0.000004 -0.000019 nan -0.000052 -0.000022 
516 0.000003 -0.000016 nan -0.000031 -0.000018 
517 0.000003 -0.000016 nan -0.000033 -0.000018 
518 0.000003 -0.000016 nan -0.000026 -0.000017 
519 0.000002 -0.000014 nan -0.000020 -0.000015 
520 -0.000000 -0.000013 nan -0.000014 -0.000013 
521 0.000003 -0.000011 nan -0.000004 -0.000011 
522 0.000001 -0.000008 nan 0.000007 -0.000006 
523 0.000000 -0.000007 nan 0.000009 -0.000005 
524 0.000000 -0.000007 nan 0.000009 -0.000005 
525 0.000002 -0.000007 nan 0.000010 -0.000005 
526 0.000002 -0.000007 nan 0.000011 -0.000005 
527 0.000001 -0.000007 nan 0.000010 -0.000005 
528 0.000002 -0.000007 nan 0.000011 -0.000005 
529 0.000001 -0.000007 nan 0.000010 -0.000005 
530 0.000001 -0.000007 nan 0.000010 -0.000005 
531 0.000002 -0.000007 nan 0.000011 -0.000005 
532 0.000002 -0.000008 nan 0.000006 -0.000006 
533 0.000002 -0.000010 nan 0.000001 -0.000009 
534 0.000002 -0.000011 nan -0.000008 -0.000011 
535 0.000002 -0.000012 nan -0.000013 -0.000012 
536 0.000003 -0.000013 nan -0.000018 -0.000013 
537 0.000021 -0.000010 nan 0.000003 -0.000009 
538 0.000022 -0.000010 nan -0.000014 -0.000011 
539 0.000015 -0.000011 nan -0.000024 -0.000012 
540 0.000012 -0.000014 nan -0.000026 -0.000015 
541 0.000010 -0.000014 nan -0.000027 -0.000015 
542 0.000009 -0.000014 nan -0.000027 -0.000016 
543 0.000008 -0.000013 nan -0.000018 -0.000014 
544 0.000007 -0.000012 nan -0.000014 -0.000012 
545 0.000006 -0.000010 nan -0.000005 -0.000010 
546 0.000006 -0.000007 nan 0.000006 -0.000006 
547 0.000005 -0.000006 nan 0.000008 -0.000005 
548 0.000005 -0.000006 nan 0.000009 -0.000005 
549 0.000005 -0.000006 nan 0.000009 -0.000005 
550 0.000004 -0.000006 nan 0.000009 -0.000005 
551 0.000004 -0.000006 nan 0.000010 -0.000005 
552 0.000004 -0.000006 nan 0.000010 -0.000004 
553 0.000004 -0.000006 nan 0.000011 -0.000004 
554 0.000003 -0.000006 nan 0.000010 -0.000004 
555 0.000003 -0.000006 nan 0.000010 -0.000004 
556 0.000003 -0.000007 nan 0.000006 -0.000006 
557 0.000003 -0.000009 nan 0.000000 -0.000008 
558 0.000003 -0.000010 nan -0.000009 -0.000010 
559 0.000003 -0.000012 nan -0.000015 -0.000012 
560 0.000003 -0.000014 nan -0.000021 -0.000015 
561 0.000002 -0.000015 nan -0.000016 -0.000015 
562 0.000002 -0.000023 nan -0.000076 -0.000028 
563 -0.000000 -0.000023 nan -0.000087 -0.000029 
564 -0.000000 -0.000018 nan -0.000040 -0.000020 
565 -0.000000 -0.000018 nan -0.000036 -0.000019 
566 -0.000000 -0.000017 nan -0.000033 -0.000019 
567 -0.000000 -0.000017 nan -0.000029 -0.000018 
568 -0.000000 -0.000015 nan -0.000022 -0.000016 
569 -0.000000 -0.000013 nan -0.000012 -0.000013 
570 -0.000000 -0.000008 nan 0.000003 -0.000007 
571 -0.000000 -0.000007 nan 0.000013 -0.000005 
572 -0.000000 -0.000007 nan 0.000013 -0.000005 
573 -0.000000 -0.000006 nan 0.000013 -0.000005 
574 -0.000000 -0.000006 nan 0.000013 -0.000004 
575 -0.000000 -0.000006 nan 0.000009 -0.000005 
576 -0.000000 -0.000006 nan 0.000009 -0.000005 
577 -0.000000 -0.000006 nan 0.000009 -0.000005 
578 -0.000000 -0.000006 nan 0.000009 -0.000004 
579 -0.000000 -0.000006 nan 0.000010 -0.000004 
580 -0.000000 -0.000007 nan 0.000006 -0.000006 
581 -0.000000 -0.000010 nan -0.000004 -0.000009 
582 -0.000000 -0.000011 nan -0.000013 -0.000012 
583 -0.000000 -0.000013 nan -0.000021 -0.000014 
584 -0.000000 -0.000015 nan -0.000028 -0.000016 
585 -0.000000 -0.000017 nan -0.000033 -0.000018 
586 -0.000000 -0.000021 nan -0.000071 -0.000026 
587 -0.000000 -0.000023 nan -0.000079 -0.000028 
588 -0.000000 -0.000022 nan -0.000058 -0.000026 
589 -0.000000 -0.000018 nan -0.000039 -0.000020 
590 -0.000000 -0.000019 nan -0.000040 -0.000021 
591 -0.000000 -0.000020 nan -0.000043 -0.000022 
592 -0.000000 -0.000015 nan -0.000027 -0.000017 
593 0.000005 -0.000014 nan -0.000015 -0.000014 
594 0.000003 -0.000008 nan 0.000003 -0.000007 
595 0.000003 -0.000007 nan 0.000005 -0.000006 
596 0.000002 -0.000007 nan 0.000004 -0.000006 
597 0.000002 -0.000007 nan 0.000004 -0.000006 
598 0.000002 -0.000007 nan 0.000005 -0.000006 
599 -0.000000 -0.000007 nan 0.000005 -0.000005 
600 -0.000000 -0.000006 nan 0.000005 -0.000005 
601 -0.000000 -0.000006 nan 0.000006 -0.000005 
602 -0.000000 -0.000006 nan 0.000006 -0.000005 
603 -0.000000 -0.000006 nan 0.000006 -0.000005 
604 -0.000000 -0.000008 nan 0.000001 -0.000007 
605 0.000002 -0.000010 nan -0.000005 -0.000010 
606 -0.000000 -0.000012 nan -0.000016 -0.000013 
607 0.000000 -0.000014 nan -0.000023 -0.000015 
608 -0.000000 -0.000015 nan -0.000031 -0.000017 
609 -0.000000 -0.000016 nan -0.000035 -0.000018 
610 -0.000000 -0.000019 nan -0.000062 -0.000023 
611 -0.000000 -0.000021 nan -0.000073 -0.000027 
612 -0.000000 -0.000020 nan -0.000049 -0.000023 
613 -0.000000 -0.000020 nan -0.000049 -0.000023 
614 -0.000000 -0.000018 nan -0.000039 -0.000020 
615 -0.000000 -0.000016 nan -0.000028 -0.000017 
616 -0.000000 -0.000014 nan -0.000019 -0.000014 
617 0.000000 -0.000012 nan -0.000009 -0.000011 
618 0.000003 -0.000007 nan 0.000006 -0.000006 
619 0.000003 -0.000007 nan 0.000008 -0.000005 
620 0.000005 -0.000007 nan 0.000011 -0.000005 
621 0.000003 -0.000006 nan 0.000009 -0.000005 
622 0.000003 -0.000006 nan 0.000008 -0.000005 
623 0.000005 -0.000006 nan 0.000012 -0.000004 
624 0.000010 -0.000006 nan 0.000016 -0.000004 
625 0.000015 -0.000006 nan 0.000019 -0.000003 
626 0.000014 -0.000005 nan 0.000018 -0.000003 
627 0.000022 -0.000005 nan 0.000021 -0.000003 
628 0.000094 -0.000005 nan 0.000027 -0.000002 
629 0.000074 -0.000005 nan 0.000065 0.000002 
630 0.000077 -0.000005 nan 0.000087 0.000004 
631 0.000045 -0.000005 nan 0.000063 0.000002 
632 0.000116 -0.000005 nan 0.000165 0.000012 
633 0.000022 -0.000005 nan 0.000053 0.000001 
634 0.000017 -0.000009 nan 0.000011 -0.000007 
635 0.000016 -0.000010 nan -0.000001 -0.000009 
636 0.000014 -0.000012 nan -0.000006 -0.000011 
637 0.000012 -0.000014 nan -0.000008 -0.000013 
638 0.000011 -0.000014 nan -0.000009 -0.000013 
639 0.000009 -0.000013 nan -0.000007 -0.000012 
640 0.000010 -0.000014 nan -0.000012 -0.000013 
641 0.000008 -0.000010 nan -0.000000 -0.000009 
642 0.000007 -0.000006 nan 0.000012 -0.000004 
643 0.000006 -0.000006 nan 0.000013 -0.000004 
644 0.000006 -0.000006 nan 0.000013 -0.000004 
645 0.000005 -0.000005 nan 0.000010 -0.000004 
646 0.000005 -0.000005 nan 0.000009 -0.000004 
647 0.000004 -0.000005 nan 0.000007 -0.000004 
648 0.000004 -0.000005 nan 0.000006 -0.000004 
649 0.000004 -0.000005 nan 0.000005 -0.000004 
650 0.000003 -0.000005 nan 0.000004 -0.000004 
651 0.000003 -0.000005 nan 0.000004 -0.000004 
652 0.000003 -0.000006 nan 0.000001 -0.000006 
653 0.000003 -0.000008 nan -0.000008 -0.000008 
654 0.000002 -0.000010 nan -0.000016 -0.000011 
655 0.000002 -0.000012 nan -0.000024 -0.000013 
656 0.000002 -0.000014 nan -0.000030 -0.000015 
657 0.000002 -0.000015 nan -0.000036 -0.000017 
658 0.000002 -0.000021 nan -0.000082 -0.000027 
659 0.000002 -0.000023 nan -0.000097 -0.000031 
660 0.000002 -0.000017 nan -0.000049 -0.000020 
661 0.000001 -0.000018 nan -0.000050 -0.000021 
662 -0.000001 -0.000018 nan -0.000047 -0.000020 
663 -0.000001 -0.000016 nan -0.000039 -0.000018 
664 -0.000001 -0.000014 nan -0.000028 -0.000015 
665 -0.000001 -0.000011 nan -0.000016 -0.000012 
666 -0.000001 -0.000007 nan -0.000002 -0.000007 
667 -0.000001 -0.000006 nan 0.000002 -0.000005 
668 -0.000001 -0.000006 nan 0.000003 -0.000005 
669 -0.000001 -0.000006 nan 0.000004 -0.000005 
670 -0.000001 -0.000006 nan 0.000004 -0.000005 
671 -0.000001 -0.000006 nan 0.000004 -0.000005 
672 -0.000001 -0.000006 nan 0.000003 -0.000005 
673 0.000002 -0.000006 nan 0.000005 -0.000005 
674 0.000009 -0.000005 nan 0.000011 -0.000004 
675 0.000033 -0.000005 nan 0.000026 -0.000002 
676 0.000297 -0.000005 nan 0.000479 0.000044 
677 0.000337 -0.000004 nan 0.000574 0.000054 
678 0.000234 -0.000004 nan 0.000412 0.000038 
679 0.000155 -0.000004 nan 0.000268 0.000024 
680 0.000138 -0.000003 nan 0.000232 0.000020 
681 0.000150 -0.000003 nan 0.000252 0.000022 
682 0.000245 -0.000003 nan 0.000404 0.000038 
683 0.000262 -0.000002 nan 0.000442 0.000043 
684 0.000705 0.000003 nan 0.001164 0.000119 
685 0.000308 0.000008 nan 0.000574 0.000064 
686 0.000395 0.000009 nan 0.000712 0.000079 
687 0.000069 0.000010 nan 0.000250 0.000034 
688 0.000025 0.000006 nan 0.000177 0.000023 
689 0.000051 0.000006 nan 0.000235 0.000029 
690 0.000028 0.000006 nan 0.000213 0.000027 
691 -0.000018 0.000006 nan 0.000143 0.000019 
692 -0.000090 0.000005 nan 0.000027 0.000007 
693 -0.000061 0.000004 nan 0.000049 0.000008 
694 -0.000091 0.000003 nan -0.000015 0.000001 
695 -0.000083 0.000002 nan -0.000021 0.000000 
696 -0.000067 0.000002 nan -0.000015 0.000000 
697 -0.000072 0.000002 nan -0.000026 -0.000001 
698 -0.000067 0.000001 nan -0.000028 -0.000002 
699 -0.000061 0.000001 nan -0.000027 -0.000002 
700 -0.000057 -0.000000 nan -0.000030 -0.000003 
701 -0.000051 -0.000001 nan -0.000031 -0.000004 
702 -0.000046 -0.000001 nan -0.000031 -0.000004 
703 -0.000037 -0.000002 nan -0.000016 -0.000003 
704 -0.000030 -0.000002 nan -0.000022 -0.000004 
705 -0.000036 -0.000004 nan -0.000036 -0.000007 
706 -0.000017 -0.000007 nan -0.000042 -0.000011 
707 -0.000032 -0.000009 nan -0.000048 -0.000013 
708 -0.000035 -0.000010 nan -0.000055 -0.000015 
709 -0.000035 -0.000009 nan -0.000052 -0.000013 
710 -0.000035 -0.000009 nan -0.000052 -0.000014 
711 -0.000034 -0.000009 nan -0.000050 -0.000013 
712 -0.000033 -0.000008 nan -0.000051 -0.000012 
713 -0.000032 -0.000006 nan -0.000048 -0.000011 
714 -0.000031 -0.000002 nan -0.000028 -0.000005 
715 -0.000030 -0.000001 nan -0.000026 -0.000004 
716 -0.000029 -0.000001 nan -0.000025 -0.000004 
717 -0.000029 -0.000001 nan -0.000025 -0.000004 
718 -0.000028 -0.000001 nan -0.000024 -0.000004 
719 -0.000027 -0.000001 nan -0.000024 -0.000003 
720 -0.000026 -0.000001 nan -0.000027 -0.000004 
721 -0.000025 -0.000001 nan -0.000027 -0.000004 
722 -0.000025 -0.000001 nan -0.000026 -0.000004 
723 -0.000024 -0.000001 nan -0.000026 -0.000004 
724 -0.000023 -0.000002 nan -0.000029 -0.000005 
725 -0.000022 -0.000003 nan -0.000034 -0.000006 
726 -0.000022 -0.000005 nan -0.000040 -0.000008 
727 -0.000021 -0.000006 nan -0.000046 -0.000010 
728 -0.000021 -0.000006 nan -0.000055 -0.000011 
729 -0.000017 -0.000005 nan -0.000046 -0.000009 
730 -0.000008 -0.000004 nan -0.000037 -0.000007 
731 0.000009 -0.000001 nan -0.000017 -0.000003 
732 0.000180 -0.000000 nan 0.000285 0.000028 
733 0.000321 0.000001 nan 0.000546 0.000055 
734 0.000376 0.000004 nan 0.000656 0.000069 
735 0.000290 0.000008 nan 0.000532 0.000060 
736 0.000122 0.000008 nan 0.000284 0.000036 
737 -0.000006 0.000008 nan 0.000080 0.000015 
738 0.000101 0.000008 nan 0.000253 0.000032 
739 0.000068 0.000009 nan 0.000228 0.000031 
740 0.000185 0.000012 nan 0.000427 0.000053 
741 0.000179 0.000017 nan 0.000456 0.000061 
742 -0.000002 0.000018 nan 0.000223 0.000038 
743 -0.000014 0.000017 nan 0.000184 0.000034 
